STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,acs2022_5yr_geoid,acs2022_5yr_name,acs2022_5yr_total 65 and older,acs2022_5yr_geoid_new,acs2022_5yr_65_proportion
"06","001","442700","06001442700",1400000US06001442700,"4427",Census Tract 4427,G5020,S,"1234016","0","+37.5371513","-122.0081095",14000US06001442700,"Census Tract 4427, Alameda, CA","458","06001442700",0.145906339598598
"06","001","442800","06001442800",1400000US06001442800,"4428",Census Tract 4428,G5020,S,"1278646","0","+37.5293619","-121.9931002",14000US06001442800,"Census Tract 4428, Alameda, CA","462","06001442800",0.148314606741573
"06","001","442900","06001442900",1400000US06001442900,"4429",Census Tract 4429,G5020,S,"2066523","0","+37.5184093","-121.9748369",14000US06001442900,"Census Tract 4429, Alameda, CA","942","06001442900",0.12107969151671
"06","001","443001","06001443001",1400000US06001443001,"4430.01",Census Tract 4430.01,G5020,S,"768730","0","+37.5184218","-121.9515237",14000US06001443001,"Census Tract 4430.01, Alameda, CA","237","06001443001",0.0858073859522085
"06","001","443002","06001443002",1400000US06001443002,"4430.02",Census Tract 4430.02,G5020,S,"1580322","0","+37.5168344","-121.9605916",14000US06001443002,"Census Tract 4430.02, Alameda, CA","836","06001443002",0.126685861494166
"06","001","443102","06001443102",1400000US06001443102,"4431.02",Census Tract 4431.02,G5020,S,"2367415","0","+37.5072245","-121.9271486",14000US06001443102,"Census Tract 4431.02, Alameda, CA","734","06001443102",0.152408637873754
"06","001","443301","06001443301",1400000US06001443301,"4433.01",Census Tract 4433.01,G5020,S,"1556745","0","+37.4707721","-121.9130472",14000US06001443301,"Census Tract 4433.01, Alameda, CA","739","06001443301",0.167992725619459
"06","001","444100","06001444100",1400000US06001444100,"4441",Census Tract 4441,G5020,S,"2955571","60526","+37.5509780","-122.0361606",14000US06001444100,"Census Tract 4441, Alameda, CA","1423","06001444100",0.197337401192622
"06","001","444200","06001444200",1400000US06001444200,"4442",Census Tract 4442,G5020,S,"2069720","0","+37.5425433","-122.0457280",14000US06001444200,"Census Tract 4442, Alameda, CA","944","06001444200",0.139191978767325
"06","001","444400","06001444400",1400000US06001444400,"4444",Census Tract 4444,G5020,S,"1027755","0","+37.5362315","-122.0353380",14000US06001444400,"Census Tract 4444, Alameda, CA","501","06001444400",0.0933482392397988
"06","001","444500","06001444500",1400000US06001444500,"4445",Census Tract 4445,G5020,S,"1959283","0","+37.5342653","-122.0273658",14000US06001444500,"Census Tract 4445, Alameda, CA","690","06001444500",0.0987406983400115
"06","001","450200","06001450200",1400000US06001450200,"4502",Census Tract 4502,G5020,S,"1612601","0","+37.7224277","-121.9154123",14000US06001450200,"Census Tract 4502, Alameda, CA","697","06001450200",0.132207890743551
"06","001","450300","06001450300",1400000US06001450300,"4503",Census Tract 4503,G5020,S,"3133641","0","+37.7106517","-121.9177272",14000US06001450300,"Census Tract 4503, Alameda, CA","748","06001450300",0.139188686267213
"06","001","441402","06001441402",1400000US06001441402,"4414.02",Census Tract 4414.02,G5020,S,"1662787","0","+37.5823293","-122.0400088",14000US06001441402,"Census Tract 4414.02, Alameda, CA","960","06001441402",0.179640718562874
"06","001","441501","06001441501",1400000US06001441501,"4415.01",Census Tract 4415.01,G5020,S,"2858378","0","+37.5695603","-122.0740416",14000US06001441501,"Census Tract 4415.01, Alameda, CA","1233","06001441501",0.215446444172637
"06","001","441521","06001441521",1400000US06001441521,"4415.21",Census Tract 4415.21,G5020,S,"1623727","0","+37.5730234","-122.0528477",14000US06001441521,"Census Tract 4415.21, Alameda, CA","1038","06001441521",0.172539893617021
"06","001","441522","06001441522",1400000US06001441522,"4415.22",Census Tract 4415.22,G5020,S,"1315100","0","+37.5846106","-122.0572653",14000US06001441522,"Census Tract 4415.22, Alameda, CA","694","06001441522",0.131563981042654
"06","001","441601","06001441601",1400000US06001441601,"4416.01",Census Tract 4416.01,G5020,S,"1296670","0","+37.5635065","-122.0305636",14000US06001441601,"Census Tract 4416.01, Alameda, CA","816","06001441601",0.170925848345203
"06","001","441602","06001441602",1400000US06001441602,"4416.02",Census Tract 4416.02,G5020,S,"1682081","0","+37.5569619","-122.0212342",14000US06001441602,"Census Tract 4416.02, Alameda, CA","1273","06001441602",0.169529897456386
"06","001","441800","06001441800",1400000US06001441800,"4418",Census Tract 4418,G5020,S,"2037722","0","+37.5591958","-121.9915699",14000US06001441800,"Census Tract 4418, Alameda, CA","872","06001441800",0.140441294894508
"06","001","441921","06001441921",1400000US06001441921,"4419.21",Census Tract 4419.21,G5020,S,"846804","0","+37.5424223","-121.9678076",14000US06001441921,"Census Tract 4419.21, Alameda, CA","279","06001441921",0.0724863600935308
"06","001","441923","06001441923",1400000US06001441923,"4419.23",Census Tract 4419.23,G5020,S,"1509388","0","+37.5509616","-121.9850062",14000US06001441923,"Census Tract 4419.23, Alameda, CA","627","06001441923",0.108533841093993
"06","001","442100","06001442100",1400000US06001442100,"4421",Census Tract 4421,G5020,S,"1858816","0","+37.5481429","-121.9499143",14000US06001442100,"Census Tract 4421, Alameda, CA","804","06001442100",0.150929228458795
"06","001","442400","06001442400",1400000US06001442400,"4424",Census Tract 4424,G5020,S,"1582838","0","+37.5313806","-121.9737794",14000US06001442400,"Census Tract 4424, Alameda, CA","723","06001442400",0.112669471715755
"06","001","441525","06001441525",1400000US06001441525,"4415.25",Census Tract 4415.25,G5020,S,"4661895","0","+37.4990214","-121.9388552",14000US06001441525,"Census Tract 4415.25, Alameda, CA","27","06001441525",0.0168434185901435
"06","001","440337","06001440337",1400000US06001440337,"4403.37",Census Tract 4403.37,G5020,S,"1134111","0","+37.5937696","-122.0108429",14000US06001440337,"Census Tract 4403.37, Alameda, CA","411","06001440337",0.144109396914446
"06","001","440338","06001440338",1400000US06001440338,"4403.38",Census Tract 4403.38,G5020,S,"865406","0","+37.5882461","-122.0142011",14000US06001440338,"Census Tract 4403.38, Alameda, CA","180","06001440338",0.043956043956044
"06","001","451103","06001451103",1400000US06001451103,"4511.03",Census Tract 4511.03,G5020,S,"60250500","0","+37.6388221","-121.7290430",14000US06001451103,"Census Tract 4511.03, Alameda, CA","254","06001451103",0.186627479794269
"06","001","432602","06001432602",1400000US06001432602,"4326.02",Census Tract 4326.02,G5020,S,"613212","0","+37.7247163","-122.1508066",14000US06001432602,"Census Tract 4326.02, Alameda, CA","466","06001432602",0.149215497918668
"06","001","451104","06001451104",1400000US06001451104,"4511.04",Census Tract 4511.04,G5020,S,"492034442","5503316","+37.6343064","-121.6163068",14000US06001451104,"Census Tract 4511.04, Alameda, CA","665","06001451104",0.0928252372975991
"06","001","441928","06001441928",1400000US06001441928,"4419.28",Census Tract 4419.28,G5020,S,"2533680","253509","+37.5499103","-121.9629333",14000US06001441928,"Census Tract 4419.28, Alameda, CA","431","06001441928",0.115364025695931
"06","001","441929","06001441929",1400000US06001441929,"4419.29",Census Tract 4419.29,G5020,S,"482755","0","+37.5543457","-121.9723074",14000US06001441929,"Census Tract 4419.29, Alameda, CA","278","06001441929",0.0907310704960835
"06","001","441701","06001441701",1400000US06001441701,"4417.01",Census Tract 4417.01,G5020,S,"1101467","0","+37.5479521","-122.0150386",14000US06001441701,"Census Tract 4417.01, Alameda, CA","454","06001441701",0.116889804325438
"06","001","444304","06001444304",1400000US06001444304,"4443.04",Census Tract 4443.04,G5020,S,"16787479","0","+37.5081370","-122.0358825",14000US06001444304,"Census Tract 4443.04, Alameda, CA","513","06001444304",0.0800561797752809
"06","001","436404","06001436404",1400000US06001436404,"4364.04",Census Tract 4364.04,G5020,S,"1573797","0","+37.6737239","-122.0592192",14000US06001436404,"Census Tract 4364.04, Alameda, CA","653","06001436404",0.202042079207921
"06","001","436301","06001436301",1400000US06001436301,"4363.01",Census Tract 4363.01,G5020,S,"1057644","0","+37.6678078","-122.0945904",14000US06001436301,"Census Tract 4363.01, Alameda, CA","441","06001436301",0.0839200761179829
"06","001","450400","06001450400",1400000US06001450400,"4504",Census Tract 4504,G5020,S,"3148410","0","+37.7126655","-121.9324172",14000US06001450400,"Census Tract 4504, Alameda, CA","1103","06001450400",0.139868120720264
"06","001","441702","06001441702",1400000US06001441702,"4417.02",Census Tract 4417.02,G5020,S,"1128742","0","+37.5583412","-122.0082979",14000US06001441702,"Census Tract 4417.02, Alameda, CA","527","06001441702",0.104625769307127
"06","001","433801","06001433801",1400000US06001433801,"4338.01",Census Tract 4338.01,G5020,S,"600344","0","+37.7049461","-122.1226567",14000US06001433801,"Census Tract 4338.01, Alameda, CA","489","06001433801",0.138605442176871
"06","001","433802","06001433802",1400000US06001433802,"4338.02",Census Tract 4338.02,G5020,S,"934044","0","+37.6948314","-122.1238940",14000US06001433802,"Census Tract 4338.02, Alameda, CA","760","06001433802",0.176703092304115
"06","001","436302","06001436302",1400000US06001436302,"4363.02",Census Tract 4363.02,G5020,S,"773495","0","+37.6641766","-122.0877950",14000US06001436302,"Census Tract 4363.02, Alameda, CA","485","06001436302",0.123346897253306
"06","001","436403","06001436403",1400000US06001436403,"4364.03",Census Tract 4364.03,G5020,S,"1585686","0","+37.6691520","-122.0708563",14000US06001436403,"Census Tract 4364.03, Alameda, CA","507","06001436403",0.112192963044921
"06","001","403402","06001403402",1400000US06001403402,"4034.02",Census Tract 4034.02,G5020,S,"99215","0","+37.8024095","-122.2651075",14000US06001403402,"Census Tract 4034.02, Alameda, CA","115","06001403402",0.101410934744268
"06","001","442502","06001442502",1400000US06001442502,"4425.02",Census Tract 4425.02,G5020,S,"971665","0","+37.5396667","-121.9903682",14000US06001442502,"Census Tract 4425.02, Alameda, CA","588","06001442502",0.15209518882566
"06","001","442501","06001442501",1400000US06001442501,"4425.01",Census Tract 4425.01,G5020,S,"983968","0","+37.5346224","-121.9839849",14000US06001442501,"Census Tract 4425.01, Alameda, CA","447","06001442501",0.136280487804878
"06","001","450609","06001450609",1400000US06001450609,"4506.09",Census Tract 4506.09,G5020,S,"2688381","0","+37.6891989","-121.9239700",14000US06001450609,"Census Tract 4506.09, Alameda, CA","890","06001450609",0.180600649350649
"06","001","450608","06001450608",1400000US06001450608,"4506.08",Census Tract 4506.08,G5020,S,"3513932","0","+37.6564813","-121.9043199",14000US06001450608,"Census Tract 4506.08, Alameda, CA","587","06001450608",0.12601975096608
"06","001","444303","06001444303",1400000US06001444303,"4443.03",Census Tract 4443.03,G5020,S,"5643025","0","+37.5249502","-122.0812538",14000US06001444303,"Census Tract 4443.03, Alameda, CA","0","06001444303",
"06","001","432601","06001432601",1400000US06001432601,"4326.01",Census Tract 4326.01,G5020,S,"1060237","0","+37.7215214","-122.1576682",14000US06001432601,"Census Tract 4326.01, Alameda, CA","636","06001432601",0.155425219941349
"06","001","403401","06001403401",1400000US06001403401,"4034.01",Census Tract 4034.01,G5020,S,"549686","602434","+37.8092493","-122.2597833",14000US06001403401,"Census Tract 4034.01, Alameda, CA","843","06001403401",0.310268678689731
"06","001","403302","06001403302",1400000US06001403302,"4033.02",Census Tract 4033.02,G5020,S,"719239","104126","+37.7937603","-122.2667344",14000US06001403302,"Census Tract 4033.02, Alameda, CA","157","06001403302",0.0614241001564945
"06","001","403301","06001403301",1400000US06001403301,"4033.01",Census Tract 4033.01,G5020,S,"196598","0","+37.7981065","-122.2669550",14000US06001403301,"Census Tract 4033.01, Alameda, CA","467","06001403301",0.255191256830601
"06","001","982100","06001982100",1400000US06001982100,"9821",Census Tract 9821,G5020,S,"1695361","0","+37.8737516","-122.2546176",14000US06001982100,"Census Tract 9821, Alameda, CA","2","06001982100",0.00216684723726977
"06","001","420302","06001420302",1400000US06001420302,"4203.02",Census Tract 4203.02,G5020,S,"870122","1109281","+37.8906499","-122.3181164",14000US06001420302,"Census Tract 4203.02, Alameda, CA","294","06001420302",0.120196238757155
"06","001","402801","06001402801",1400000US06001402801,"4028.01",Census Tract 4028.01,G5020,S,"291472","0","+37.8095483","-122.2707403",14000US06001402801,"Census Tract 4028.01, Alameda, CA","569","06001402801",0.174861708666257
"06","001","402802","06001402802",1400000US06001402802,"4028.02",Census Tract 4028.02,G5020,S,"118446","0","+37.8070174","-122.2735577",14000US06001402802,"Census Tract 4028.02, Alameda, CA","450","06001402802",0.314685314685315
"06","001","420401","06001420401",1400000US06001420401,"4204.01",Census Tract 4204.01,G5020,S,"200056","0","+37.8848762","-122.2997917",14000US06001420401,"Census Tract 4204.01, Alameda, CA","112","06001420401",0.0840210052513128
"06","001","422902","06001422902",1400000US06001422902,"4229.02",Census Tract 4229.02,G5020,S,"385452","0","+37.8687746","-122.2698172",14000US06001422902,"Census Tract 4229.02, Alameda, CA","67","06001422902",0.0221707478491066
"06","001","422901","06001422901",1400000US06001422901,"4229.01",Census Tract 4229.01,G5020,S,"158830","0","+37.8657427","-122.2678632",14000US06001422901,"Census Tract 4229.01, Alameda, CA","147","06001422901",0.0726284584980237
"06","001","420402","06001420402",1400000US06001420402,"4204.02",Census Tract 4204.02,G5020,S,"920050","1632801","+37.8862110","-122.3141636",14000US06001420402,"Census Tract 4204.02, Alameda, CA","17","06001420402",0.0102347983142685
"06","001","420301","06001420301",1400000US06001420301,"4203.01",Census Tract 4203.01,G5020,S,"415655","0","+37.8947347","-122.3047951",14000US06001420301,"Census Tract 4203.01, Alameda, CA","452","06001420301",0.170888468809074
"06","001","450603","06001450603",1400000US06001450603,"4506.03",Census Tract 4506.03,G5020,S,"3918835","0","+37.6888372","-121.9106075",14000US06001450603,"Census Tract 4506.03, Alameda, CA","685","06001450603",0.139881560138861
"06","001","450604","06001450604",1400000US06001450604,"4506.04",Census Tract 4506.04,G5020,S,"2113004","0","+37.6811898","-121.8865528",14000US06001450604,"Census Tract 4506.04, Alameda, CA","1029","06001450604",0.206088523933507
"06","001","450605","06001450605",1400000US06001450605,"4506.05",Census Tract 4506.05,G5020,S,"1770810","0","+37.6721104","-121.8819955",14000US06001450605,"Census Tract 4506.05, Alameda, CA","587","06001450605",0.153906659674882
"06","001","450606","06001450606",1400000US06001450606,"4506.06",Census Tract 4506.06,G5020,S,"2028174","0","+37.6694706","-121.8997590",14000US06001450606,"Census Tract 4506.06, Alameda, CA","1010","06001450606",0.167551426675514
"06","001","451701","06001451701",1400000US06001451701,"4517.01",Census Tract 4517.01,G5020,S,"1222738","0","+37.6721084","-121.7879470",14000US06001451701,"Census Tract 4517.01, Alameda, CA","407","06001451701",0.138623978201635
"06","001","451501","06001451501",1400000US06001451501,"4515.01",Census Tract 4515.01,G5020,S,"5051107","0","+37.6733478","-121.7369681",14000US06001451501,"Census Tract 4515.01, Alameda, CA","798","06001451501",0.177491103202847
"06","001","408000","06001408000",1400000US06001408000,"4080",Census Tract 4080,G5020,S,"1955276","0","+37.8029603","-122.1828718",14000US06001408000,"Census Tract 4080, Alameda, CA","692","06001408000",0.241958041958042
"06","001","441401","06001441401",1400000US06001441401,"4414.01",Census Tract 4414.01,G5020,S,"1856512","0","+37.5735085","-122.0375264",14000US06001441401,"Census Tract 4414.01, Alameda, CA","983","06001441401",0.13021592263876
"06","001","432400","06001432400",1400000US06001432400,"4324",Census Tract 4324,G5020,S,"6442759","1843213","+37.7085402","-122.1858996",14000US06001432400,"Census Tract 4324, Alameda, CA","790","06001432400",0.124487866372518
"06","001","404300","06001404300",1400000US06001404300,"4043",Census Tract 4043,G5020,S,"1817027","37495","+37.8448210","-122.2385523",14000US06001404300,"Census Tract 4043, Alameda, CA","751","06001404300",0.209367159185949
"06","001","435104","06001435104",1400000US06001435104,"4351.04",Census Tract 4351.04,G5020,S,"7240654","0","+37.6385144","-122.0388422",14000US06001435104,"Census Tract 4351.04, Alameda, CA","707","06001435104",0.103121353558926
"06","001","405301","06001405301",1400000US06001405301,"4053.01",Census Tract 4053.01,G5020,S,"227753","0","+37.8020757","-122.2513558",14000US06001405301,"Census Tract 4053.01, Alameda, CA","355","06001405301",0.123607242339833
"06","001","982000","06001982000",1400000US06001982000,"9820",Census Tract 9820,G5020,S,"1269350","453537","+37.7960280","-122.2953295",14000US06001982000,"Census Tract 9820, Alameda, CA","20","06001982000",0.4
"06","001","450102","06001450102",1400000US06001450102,"4501.02",Census Tract 4501.02,G5020,S,"9587788","0","+37.7208227","-121.8911768",14000US06001450102,"Census Tract 4501.02, Alameda, CA","429","06001450102",0.0581616052060738
"06","001","443321","06001443321",1400000US06001443321,"4433.21",Census Tract 4433.21,G5020,S,"558876","0","+37.4902703","-121.9242859",14000US06001443321,"Census Tract 4433.21, Alameda, CA","401","06001443321",0.118920521945433
"06","001","444602","06001444602",1400000US06001444602,"4446.02",Census Tract 4446.02,G5020,S,"5618904","0","+37.5116224","-122.0028758",14000US06001444602,"Census Tract 4446.02, Alameda, CA","557","06001444602",0.112867274569402
"06","001","450502","06001450502",1400000US06001450502,"4505.02",Census Tract 4505.02,G5020,S,"11295331","0","+37.7102505","-121.9676415",14000US06001450502,"Census Tract 4505.02, Alameda, CA","1196","06001450502",0.190871369294606
"06","001","450751","06001450751",1400000US06001450751,"4507.51",Census Tract 4507.51,G5020,S,"10011414","0","+37.7164128","-121.8428623",14000US06001450751,"Census Tract 4507.51, Alameda, CA","678","06001450751",0.0535460432791028
"06","001","450752","06001450752",1400000US06001450752,"4507.52",Census Tract 4507.52,G5020,S,"17396450","0","+37.7409198","-121.8239920",14000US06001450752,"Census Tract 4507.52, Alameda, CA","684","06001450752",0.0710206624441906
"06","001","435602","06001435602",1400000US06001435602,"4356.02",Census Tract 4356.02,G5020,S,"1143135","0","+37.6819299","-122.1070000",14000US06001435602,"Census Tract 4356.02, Alameda, CA","872","06001435602",0.153764768118498
"06","001","437101","06001437101",1400000US06001437101,"4371.01",Census Tract 4371.01,G5020,S,"49264545","7210036","+37.6059048","-122.1268730",14000US06001437101,"Census Tract 4371.01, Alameda, CA","1266","06001437101",0.159045226130653
"06","001","438203","06001438203",1400000US06001438203,"4382.03",Census Tract 4382.03,G5020,S,"5255991","0","+37.6156286","-122.0575298",14000US06001438203,"Census Tract 4382.03, Alameda, CA","744","06001438203",0.181862625274994
"06","001","443105","06001443105",1400000US06001443105,"4431.05",Census Tract 4431.05,G5020,S,"3289426","0","+37.5218355","-121.9322560",14000US06001443105,"Census Tract 4431.05, Alameda, CA","815","06001443105",0.174592973436161
"06","001","451504","06001451504",1400000US06001451504,"4515.04",Census Tract 4515.04,G5020,S,"3247420","0","+37.6979401","-121.7322366",14000US06001451504,"Census Tract 4515.04, Alameda, CA","185","06001451504",0.120207927225471
"06","001","403502","06001403502",1400000US06001403502,"4035.02",Census Tract 4035.02,G5020,S,"181133","0","+37.8159444","-122.2569636",14000US06001403502,"Census Tract 4035.02, Alameda, CA","224","06001403502",0.116727462219906
"06","001","403702","06001403702",1400000US06001403702,"4037.02",Census Tract 4037.02,G5020,S,"199100","0","+37.8094979","-122.2520933",14000US06001403702,"Census Tract 4037.02, Alameda, CA","246","06001403702",0.109919571045576
"06","001","425101","06001425101",1400000US06001425101,"4251.01",Census Tract 4251.01,G5020,S,"598450","2087491","+37.8382532","-122.3054128",14000US06001425101,"Census Tract 4251.01, Alameda, CA","460","06001425101",0.262257696693273
"06","001","430101","06001430101",1400000US06001430101,"4301.01",Census Tract 4301.01,G5020,S,"25683484","0","+37.7272887","-122.0150232",14000US06001430101,"Census Tract 4301.01, Alameda, CA","1247","06001430101",0.177281774239409
"06","001","430102","06001430102",1400000US06001430102,"4301.02",Census Tract 4301.02,G5020,S,"77663212","3506442","+37.7674981","-122.0500120",14000US06001430102,"Census Tract 4301.02, Alameda, CA","696","06001430102",0.283041886945913
"06","001","408200","06001408200",1400000US06001408200,"4082",Census Tract 4082,G5020,S,"901140","0","+37.7751040","-122.1755739",14000US06001408200,"Census Tract 4082, Alameda, CA","737","06001408200",0.1648400805189
"06","001","408400","06001408400",1400000US06001408400,"4084",Census Tract 4084,G5020,S,"542834","0","+37.7646042","-122.1709592",14000US06001408400,"Census Tract 4084, Alameda, CA","506","06001408400",0.12411086583272
