ID,Address,Voting Days,Location,Latitude,Longitude
Precinct000021,2152 Central Avenue Alameda,4-Days,California Historical Radio Society,37.766259,-122.24798
Precinct000022,1815 Union Street Alameda,4-Days,Bohol Circle Incorporated,37.774145,-122.252271
Precinct000023,1912 Central Ave Alameda,4-Days,1st Congregational Ch Of Alameda,37.768481,-122.253025
Precinct000024,2130 Otis Dr Alameda,4-Days,South Shore Center,37.760173,-122.253141
Precinct000025,555 Ralph Appezzato Memorial Pwy Alameda,4-Days,College Of Alameda,37.780383,-122.279406
Precinct000001,703 Atlantic Avenue Alameda,11-Days,Independence Plaza,37.780377,-122.275886
Precinct000026,1249 Marin Ave Albany,4-Days,Albany Rec & Comm Services,37.887941,-122.292966
Precinct000027,400 Adams St Albany,4-Days,Orientation Center For The Blind,37.897976,-122.302689
Precinct000028,2465 Bancroft Way #218 Berkeley,4-Days,Ucb Public Service Center,37.868328,-122.260003
Precinct000029,3075 Adeline St Berkeley,4-Days,Ed Roberts Campus,37.852774,-122.269328
Precinct000030,2015 Virginia St Berkeley Ca,4-Days,Berkeley Arts Magnet School,37.876873,-122.270348
Precinct000031,2425 Stuart St Berkeley,4-Days,Willard Middle School,37.860188,-122.258077
Precinct000032,1953 Hopkins St Berkeley,4-Days,Epworth United Methodist Church,37.887354,-122.27375
Precinct000033,920 Allston Way Berkeley,4-Days,Rosa Parks Elementary School,37.865472,-122.294095
Precinct000034,1731 Prince St Berkeley,4-Days,Malcolm X Elementary School,37.852566,-122.273579
Precinct000035,2112 Browning St,4-Days,West Campus Oxford Gym,0,0
Precinct000002,2600 Bancroft Way Berkeley,11-Days,Ywca Berkeley/oakland,37.868766,-122.256558
Precinct000003,3600 Norbridge Ave Castro Valley,11-Days,Castro Valley Library,37.692916,-122.071115
Precinct000036,17800 Redwood Road Castro Valley,4-Days,Kenneth C Aitken Senior Center,37.714973,-122.073424
Precinct000037,18988 Lake Chabot Road Castro Valley,4-Days,Castro Valley Community Center,37.707874,-122.090113
Precinct000038,6811 Villareal Dr Castro Valley,4-Days,Palomares Hills Rec Center,37.71369,-122.028572
Precinct000039,7421 Amarillo Rd Dublin,4-Days,John Knox Presbyterian Church,37.70503,-121.942328
Precinct000040,100 Civic Plaza Dublin,4-Days,Dublin Civic Center,37.703836,-121.91718
Precinct000041,4825 Gleason Dr Dublin,4-Days,Santa Rita Public Works,37.71419,-121.882691
Precinct000004,4201 Central Parkway Dublin,11-Days,The Wave,37.709847,-121.875265
Precinct000042,4321 Salem St Emeryville,4-Days,Emeryville Senior Center,37.833962,-122.279616
Precinct000043,37154 2nd St Fremont,4-Days,Veterans Memorial Hall,37.577296,-121.984012
Precinct000044,38255 Blacow Rd Fremont,4-Days,United Church Of Christ Fremont,37.540351,-122.007823
Precinct000045,43600 Mission Blvd Fremont,4-Days,Ohlone College,37.527638,-121.91628
Precinct000046,4700 Calaveras Ave Fremont,4-Days,Fremont Adult & Education,37.537767,-121.990622
Precinct000047,40382 Fremont Blvd Fremont,4-Days,Our Lady Of Guadalupe,37.538282,-121.967973
Precinct000048,42000 Paseo Padre Pkwy Fremont,4-Days,Temple Beth Torah Synagogue,37.536493,-121.938471
Precinct000049,42412 Albrae St Fremont,4-Days,Islamic Center Of Fremont,37.515026,-121.977677
Precinct000050,555 Lemos Ln Fremont,4-Days,John Gomes Elementary School,37.551165,-121.949045
Precinct000051,41800 Blacow Rd Fremont,4-Days,Irvington High School,37.524887,-121.967703
Precinct000052,36300 Fremont Blvd Fremont,4-Days,American High School,37.565431,-122.016411
Precinct000005,47102 Mission Falls Court Suite 109,11-Days,San Francisco Bay University,0,0
Precinct000006,2400 Stevenson Blvd Fremont,11-Days,Fremont Main Library,37.551355,-121.972015
Precinct000007,25555 Hesperian Blvd Hayward,11-Days,Chabot College Student Center,37.641787,-122.105602
Precinct000008,22100 Princeton St. Hayward,11-Days,Hayward Adult School,37.672148,-122.098732
Precinct000053,425 Gresel St Hayward,4-Days,Fairway Park Baptist Church,37.617981,-122.03482
Precinct000054,25800 W Loop Rd Hayward,4-Days,Cal State Univ East Bay,32.285286,-101.459987
Precinct000055,28605 Ruus Rd Hayward,4-Days,Palma Ceia Baptist Church,37.627866,-122.067358
Precinct000056,27182 Patrick Avenue Hayward,4-Days,Weekes Community Center - Park,37.634048,-122.079017
Precinct000057,888 C St Hayward,4-Days,Downtown Hayward Public Library,37.67056,-122.083303
Precinct000058,23515 Maud Ave Hayward,4-Days,Fairview Elementary School,37.680792,-122.052401
Precinct000059,750 Calhoun St Hayward,4-Days,St Clements Church,37.64236,-122.05916
Precinct000060,224 W Winton Ave Hayward,4-Days,Alameda County Office Building,37.658301,-122.095665
Precinct000061,1020 Mocho St Livermore,4-Days,Holy Cross Lutheran Church,37.673445,-121.783048
Precinct000062,557 Olivina Ave Livermore,4-Days,Livermore Valley Academy,37.682285,-121.794127
Precinct000063,3585 Greenville Road,4-Days,Martinelli Center,35.580444,-77.392609
Precinct000064,1232 Arrowhead Ave Livermore,4-Days,Hindu Community & Cultural Ctr,37.713377,-121.731978
Precinct000065,1135 Bluebell Dr Livermore,4-Days,Celebration Church,37.709636,-121.734011
Precinct000009,2466 8th St Livermore,11-Days,Bothwell Arts Center,37.677257,-121.763062
Precinct000010,37055 Newark Blvd Newark,11-Days,Newark Public Library,40.744585,-74.182525
Precinct000066,6800 Mowry Ave Newark,4-Days,The Silliman Center,40.73799,-74.191692
Precinct000067,35725 Cedar Blvd Newark 94560,4-Days,Whiteford Pre School,37.550101,-122.037957
Precinct000068,581 61st St Oakland,4-Days,Sankofa United Elem School,37.847028,-122.26434
Precinct000069,5366 College Ave Oakland,4-Days,Oakland Lib Rockridge Branch,37.83942,-122.251249
Precinct000070,8400 Enterprise Way,4-Days,City Of Refuge,37.7443848,-122.1945984
Precinct000071,925 Brockhurst St Oakland,4-Days,St Mary's Center,37.823236,-122.276831
Precinct000072,5555 Ascot Dr Oakland,4-Days,Montera Middle School,37.819275,-122.201776
Precinct000073,3594 Sanborn Dr Oakland,4-Days,Joaquin Miller Center (closed),37.811539,-122.179781
Precinct000074,666 Bellevue Ave Oakland,4-Days,Lakeside Park Garden,37.807463,-122.259099
Precinct000075,125 14th St Oakland,4-Days,Oakland Public Library,37.800951,-122.263681
Precinct000076,3994 Burckhalter Ave Oakland,4-Days,Burckhalter Elem School,37.775814,-122.166271
Precinct000077,5000 Macarthur Blvd Oakland,4-Days,Northeastern University,37.783361,-122.188108
Precinct000078,2725 International Blvd Oakland,4-Days,Think College Now,37.780438,-122.231261
Precinct000079,8000 Birch St Oakland,4-Days,East Oakland Pride Elementary,37.759203,-122.174555
Precinct000080,476 34th St Oakland,4-Days,Parks Chapel Ame Church,37.822483,-122.264822
Precinct000081,1183 10th St Oakland,4-Days,Beth Eden Batptist Church,37.806396,-122.287962
Precinct000082,4850 Clarewood Dr Oakland,4-Days,St Theresa Church,37.83715,-122.231655
Precinct000083,1909 Market St Oakland,4-Days,Greater St. John Missionary Baptist,37.811914,-122.279954
Precinct000084,6401 San Pablo Ave Oakland,4-Days,St Columba Catholic Church,37.846591,-122.285413
Precinct000085,115 Embarcadero Oakland,4-Days,Jack London Aquatic Center,37.790667,-122.265987
Precinct000086,2101 35th Ave Oakland,4-Days,United For Success Academy,37.78438,-122.216797
Precinct000087,1021 81st Ave Oakland,4-Days,81st Ave Branch Library,37.753128,-122.185868
Precinct000011,7200 Bancroft Ave Oakland,11-Days,Eastmont Town Center Entrance F,37.768571,-122.177184
Precinct000012,920 Campbell St Oakland,11-Days,Prescott School,37.80826,-122.297927
Precinct000013,4351 Broadway Oakland,11-Days,Oakland Tech High School,37.832271,-122.255457
Precinct000014,3200 Boston Ave Oakland,11-Days,Fruitvale Elementary School,37.796182,-122.214102
Precinct000015,401 Jones Ave Oakland,11-Days,Brookfield Elementary School,37.735949,-122.188626
Precinct000016,8501 International Blvd Oakland,11-Days,Allen Temple,37.752944,-122.177303
Precinct000088,401 Highland Ave Piedmont,4-Days,Piedmont Veterans Memorial Bldg,37.824695,-122.232137
Precinct000089,480 Adams Way Pleasanton,4-Days,Valley View Elementary School,37.66075,-121.863275
Precinct000090,5001 Case Ave Pleasanton,4-Days,Pleasanton Middle School,37.654685,-121.883829
Precinct000091,4900 Valley Ave Pleasanton,4-Days,Harvest Park Middle School,37.675486,-121.883295
Precinct000092,1454 Santa Rita Rd. Pleasanton,4-Days,Alisal Elementary School,37.672277,-121.871365
Precinct000017,5758 West Las Positas Blvd. Pleasanton,11-Days,Pleasanton Unified School District,37.684958,-121.892451
Precinct000018,14600 Catalina St San Leandro,11-Days,Alameda County Electrical Jatc,37.692452,-122.170482
Precinct000093,1600 Bancroft Ave,4-Days,First United Methodist Church San Leandr,0,0
Precinct000094,300 Estudillo Ave San Leandro,4-Days,San Leandro Main Library,37.725885,-122.153554
Precinct000095,2860 Halcyon Dr San Leandro,4-Days,Halcyon Baptist Church,37.702037,-122.134757
Precinct000096,601 Macarthur Blvd San Leandro,4-Days,San Leandro Church Of Christ,37.738299,-122.143789
Precinct000097,395 Paseo Grande San Lorenzo,4-Days,San Lorenzo Library,37.68088,-122.125852
Precinct000019,945 Paseo Grande San Lorenzo,11-Days,Df Wesleyan Church Of Tongan In America,37.677118,-122.134396
Precinct000020,33520 Western Ave Union City,11-Days,Union City Apostolic Church,37.592068,-122.034139
Precinct000098,31224 Union City Blvd Union City,4-Days,The Mark Green Sports Center,37.593863,-122.080165
Precinct000099,703 C St Union City,4-Days,Our Lady Of The Rosary Church,37.603785,-122.02511
Precinct000100,2801 Hop Ranch Rd Union City,4-Days,Cesar Chavez Middle School,37.593511,-122.047503